Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
woad,non-word,None,n,comic sans,1,ComicSans55.jpeg,experimental,A,,,,,0,4,4,54,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9517510820005555,63.09447533400089,None,63.09447533400089,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
ebit,non-word,None,n,comic sans,1,ComicSans50.jpeg,experimental,A,,,,,0,5,5,49,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7455584580020513,64.07768075000786,None,64.07768075000786,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
wald,non-word,None,n,georgia,2,Georgia80.jpeg,experimental,A,,,,,0,6,6,79,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8981223739974666,64.8609257920034,None,None,None,64.8609257920034,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
sail,word,8.175,w,georgia,2,Georgia35.jpeg,experimental,A,,,,,0,7,7,34,,,,,,,,,,,,,,,,,,,,,,,w,1,1.1380371660052333,65.79314870900998,None,None,None,65.79314870900998,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
gelp,non-word,None,n,comic sans,1,ComicSans58.jpeg,experimental,A,,,,,0,8,8,57,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7573827909945976,66.97849962500914,None,66.97849962500914,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
spew,word,8.117,w,comic sans,1,ComicSans16.jpeg,experimental,A,,,,,0,9,9,15,,,,,,,,,,,,,,,,,,,,,,,w,1,0.856687541003339,67.77991833401029,None,67.77991833401029,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
span,word,8.134,w,georgia,2,Georgia22.jpeg,experimental,A,,,,,0,10,10,21,,,,,,,,,,,,,,,,,,,,,,,w,1,1.176314625001396,68.67711833400244,None,None,None,68.67711833400244,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
prop,word,8.112,w,comic sans,1,ComicSans15.jpeg,experimental,A,,,,,0,11,11,14,,,,,,,,,,,,,,,,,,,,,,,w,1,0.9380957080138614,69.89374875000794,None,69.89374875000794,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
vire,non-word,None,n,georgia,2,Georgia68.jpeg,experimental,A,,,,,0,12,12,67,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9434003320056945,70.87753545900341,None,None,None,70.87753545900341,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
poet,word,8.147,w,georgia,2,Georgia31.jpeg,experimental,A,,,,,0,13,13,30,,,,,,,,,,,,,,,,,,,,,,,w,1,0.945587706999504,71.86538520900649,None,None,None,71.86538520900649,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
hobs,non-word,None,n,georgia,2,Georgia66.jpeg,experimental,A,,,,,0,14,14,65,,,,,,,,,,,,,,,,,,,,,,,w,0,1.4361490000010235,72.84533908400044,None,None,None,72.84533908400044,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
chep,non-word,None,n,comic sans,1,ComicSans44.jpeg,experimental,A,,,,,0,15,15,43,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8686049579991959,74.33003237500088,None,74.33003237500088,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
lace,word,8.097,w,comic sans,1,ComicSans11.jpeg,experimental,A,,,,,0,16,16,10,,,,,,,,,,,,,,,,,,,,,,,w,1,1.1603554989997065,75.24557895900216,None,75.24557895900216,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
joet,non-word,None,n,georgia,2,Georgia61.jpeg,experimental,A,,,,,0,17,17,60,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7127532489976147,76.4462682500016,None,None,None,76.4462682500016,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
cone,word,8.72,w,georgia,2,Georgia34.jpeg,experimental,A,,,,,0,18,18,33,,,,,,,,,,,,,,,,,,,,,,,w,1,0.9406012499966891,77.19700337501126,None,None,None,77.19700337501126,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
bulb,word,8.085,w,comic sans,1,ComicSans9.jpeg,experimental,A,,,,,0,19,19,8,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6621694570058025,78.17776541700005,None,78.17776541700005,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
cial,non-word,None,n,georgia,2,Georgia77.jpeg,experimental,A,,,,,0,20,20,76,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6806356659944868,78.87794533401029,None,None,None,78.87794533401029,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
