Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,response_practice.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
vekd,non-word,None,n,georgia,2,Georgia76.jpeg,experimental,A,,,,,0,4,4,75,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8446377500076778,68.87118291598745,None,None,None,68.87118291598745,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
faza,non-word,None,n,comic sans,1,ComicSans51.jpeg,experimental,A,,,,,0,5,5,50,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6668894160247874,69.75133333299891,None,69.75133333299891,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
lerm,non-word,None,n,georgia,2,Georgia74.jpeg,experimental,A,,,,,0,6,6,73,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7763261240033899,70.43784429100924,None,None,None,70.43784429100924,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
yell,word,8.108,w,comic sans,1,ComicSans13.jpeg,experimental,A,,,,,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,w,1,0.757955998997204,71.23695470800158,None,71.23695470800158,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
hobs,non-word,None,n,georgia,2,Georgia66.jpeg,experimental,A,,,,,0,8,8,65,,,,,,,,,,,,,,,,,,,,,,,w,0,1.5723243329848628,72.02067341600196,None,None,None,72.02067341600196,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
hail,word,8.079,w,comic sans,1,ComicSans5.jpeg,experimental,A,,,,,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,w,1,0.872999333019834,73.63512904100935,None,73.63512904100935,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
erks,non-word,None,n,comic sans,1,ComicSans49.jpeg,experimental,A,,,,,0,10,10,48,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7649230000097305,74.54995062499074,None,74.54995062499074,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
keen,word,8.144,w,georgia,2,Georgia28.jpeg,experimental,A,,,,,0,11,11,27,,,,,,,,,,,,,,,,,,,,,,,w,1,1.3760225000150967,75.35009395799716,None,None,None,75.35009395799716,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
taul,non-word,None,n,comic sans,1,ComicSans57.jpeg,experimental,A,,,,,0,12,12,56,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8671523749944754,76.76750595800695,None,76.76750595800695,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
chow,word,8.11,w,comic sans,1,ComicSans14.jpeg,experimental,A,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,w,1,1.5705314999795519,77.66963225000654,None,77.66963225000654,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
hers,word,8.142,w,georgia,2,Georgia25.jpeg,experimental,A,,,,,0,14,14,24,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7634964160097297,79.283983833011,None,None,None,79.283983833011,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
bulb,word,8.085,w,comic sans,1,ComicSans9.jpeg,experimental,A,,,,,0,15,15,8,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6438942490203772,80.08393362499191,None,80.08393362499191,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
