Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,response_practice.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
prop,word,8.112,w,georgia,2,Georgia15.jpeg,experimental,B,,,,,0,4,4,14,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7183142499998212,93.89804266700048,None,None,None,93.89804266700048,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
fade,word,8.162,w,comic sans,1,ComicSans33.jpeg,experimental,B,,,,,0,5,5,32,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6939859579997574,94.64977179200014,None,94.64977179200014,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
chep,non-word,None,n,georgia,2,Georgia44.jpeg,experimental,B,,,,,0,6,6,43,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9461474989993803,95.38333416700061,None,None,None,95.38333416700061,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
heas,non-word,None,n,comic sans,1,ComicSans73.jpeg,experimental,B,,,,,0,7,7,72,,,,,,,,,,,,,,,,,,,,,,,n,1,1.0233569160000116,96.36498208400008,None,96.36498208400008,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
woke,word,8.078,w,georgia,2,Georgia4.jpeg,experimental,B,,,,,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,w,1,0.8007783749999362,97.43188908400043,None,None,None,97.43188908400043,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
stem,word,8.183,w,comic sans,1,ComicSans37.jpeg,experimental,B,,,,,0,9,9,36,,,,,,,,,,,,,,,,,,,,,,,w,1,1.1593618749993766,98.26738012500027,None,98.26738012500027,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
atus,non-word,None,n,georgia,2,Georgia42.jpeg,experimental,B,,,,,0,10,10,41,,,,,,,,,,,,,,,,,,,,,,,n,1,0.68213170800027,99.46594754200032,None,None,None,99.46594754200032,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
vire,non-word,None,n,comic sans,1,ComicSans68.jpeg,experimental,B,,,,,0,11,11,67,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9231273750001492,100.18070625000018,None,100.18070625000018,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
lerm,non-word,None,n,comic sans,1,ComicSans74.jpeg,experimental,B,,,,,0,12,12,73,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7785612500001662,101.14831587500066,None,101.14831587500066,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
lamb,word,8.144,w,comic sans,1,ComicSans29.jpeg,experimental,B,,,,,0,13,13,28,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7197955830006322,101.96665633400062,None,101.96665633400062,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
mons,non-word,None,n,georgia,2,Georgia45.jpeg,experimental,B,,,,,0,14,14,44,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7092600420000963,102.73243475000072,None,None,None,102.73243475000072,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
wald,non-word,None,n,comic sans,1,ComicSans80.jpeg,experimental,B,,,,,0,15,15,79,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9010524160003115,103.4822259170005,None,103.4822259170005,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
tent,word,8.067,w,georgia,2,Georgia3.jpeg,experimental,B,,,,,0,16,16,2,,,,,,,,,,,,,,,,,,,,,,,w,1,1.3145809159996134,104.4165762090006,None,None,None,104.4165762090006,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
watt,word,8.145,w,comic sans,1,ComicSans30.jpeg,experimental,B,,,,,0,17,17,29,,,,,,,,,,,,,,,,,,,,,,,w,1,1.2365405829996234,105.76586016700003,None,105.76586016700003,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
gips,non-word,None,n,comic sans,1,ComicSans75.jpeg,experimental,B,,,,,0,18,18,74,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7496542079998108,107.03224070900069,None,107.03224070900069,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
abem,non-word,None,n,georgia,2,Georgia41.jpeg,experimental,B,,,,,0,19,19,40,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8536974170001486,107.81815745900076,None,None,None,107.81815745900076,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
joet,non-word,None,n,comic sans,1,ComicSans61.jpeg,experimental,B,,,,,0,20,20,60,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6552515419998599,108.71723004200066,None,108.71723004200066,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
loth,non-word,None,n,georgia,2,Georgia56.jpeg,experimental,B,,,,,0,21,21,55,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7408812499998021,109.41609250000056,None,None,None,109.41609250000056,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
hilp,non-word,None,n,georgia,2,Georgia59.jpeg,experimental,B,,,,,0,22,22,58,,,,,,,,,,,,,,,,,,,,,,,n,1,1.0337049999998271,110.20066875000066,None,None,None,110.20066875000066,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
jets,word,8.081,w,georgia,2,Georgia7.jpeg,experimental,B,,,,,0,23,23,6,,,,,,,,,,,,,,,,,,,,,,,w,1,1.5959774580005615,111.26585325000087,None,None,None,111.26585325000087,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
mist,word,8.091,w,georgia,2,Georgia10.jpeg,experimental,B,,,,,0,24,24,9,,,,,,,,,,,,,,,,,,,,,,,w,1,0.8700724580003225,112.89949566700034,None,None,None,112.89949566700034,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
runk,non-word,None,n,georgia,2,Georgia54.jpeg,experimental,B,,,,,0,25,25,53,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9321460000001025,113.81550291700023,None,None,None,113.81550291700023,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
nets,word,8.142,w,comic sans,1,ComicSans26.jpeg,experimental,B,,,,,0,26,26,25,,,,,,,,,,,,,,,,,,,,,,,w,1,0.835526583000501,114.7829017920003,None,114.7829017920003,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
buwl,non-word,None,n,georgia,2,Georgia43.jpeg,experimental,B,,,,,0,27,27,42,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9523117079997974,115.64818266700058,None,None,None,115.64818266700058,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
bets,word,8.085,w,georgia,2,Georgia8.jpeg,experimental,B,,,,,0,28,28,7,,,,,,,,,,,,,,,,,,,,,,,w,1,1.0655173739996826,116.63290287500058,None,None,None,116.63290287500058,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
span,word,8.134,w,comic sans,1,ComicSans22.jpeg,experimental,B,,,,,0,29,29,21,,,,,,,,,,,,,,,,,,,,,,,w,1,0.8717886250005904,117.73451850000038,None,117.73451850000038,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
faza,non-word,None,n,georgia,2,Georgia51.jpeg,experimental,B,,,,,0,30,30,50,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6967822910000905,118.6493069170001,None,None,None,118.6493069170001,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
chow,word,8.11,w,georgia,2,Georgia14.jpeg,experimental,B,,,,,0,31,31,13,,,,,,,,,,,,,,,,,,,,,,,n,0,1.1935181670005477,119.38244225000017,None,None,None,119.38244225000017,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
ebit,non-word,None,n,georgia,2,Georgia50.jpeg,experimental,B,,,,,0,32,32,49,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8851877500001137,120.61472004200004,None,None,None,120.61472004200004,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
hond,non-word,None,n,georgia,2,Georgia53.jpeg,experimental,B,,,,,0,33,33,52,,,,,,,,,,,,,,,,,,,,,,,n,1,1.2642408330002581,121.53419916700022,None,None,None,121.53419916700022,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
sail,word,8.175,w,comic sans,1,ComicSans35.jpeg,experimental,B,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6932179579998774,122.83309170900066,None,122.83309170900066,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
gosh,word,8.054,w,georgia,2,Georgia1.jpeg,experimental,B,,,,,0,35,35,0,,,,,,,,,,,,,,,,,,,,,,,w,1,0.9878530830001182,123.56700841700058,None,None,None,123.56700841700058,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
lace,word,8.097,w,georgia,2,Georgia11.jpeg,experimental,B,,,,,0,36,36,10,,,,,,,,,,,,,,,,,,,,,,,w,1,0.9605542910003351,124.60034145900045,None,None,None,124.60034145900045,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
babe,word,8.059,w,georgia,2,Georgia2.jpeg,experimental,B,,,,,0,37,37,1,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7920287079996342,125.5990817920001,None,None,None,125.5990817920001,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
atom,word,8.134,w,comic sans,1,ComicSans21.jpeg,experimental,B,,,,,0,38,38,20,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7733833330003108,126.4325895840002,None,126.4325895840002,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
