Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
yarl,non-word,None,n,georgia,2,Georgia79.jpeg,experimental,A,,,,,0,64,64,78,,,,,,,,,,,,,,,,,,,,,,,w,0,1.0354887919966131,121.5842605830112,None,None,None,121.5842605830112,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
bean,word,8.182,w,georgia,2,Georgia36.jpeg,experimental,A,,,,,0,65,65,35,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6783444580069045,122.65398329100572,None,None,None,122.65398329100572,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
hers,word,8.142,w,georgia,2,Georgia25.jpeg,experimental,A,,,,,0,66,66,24,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6339420000003884,123.3669860830123,None,None,None,123.3669860830123,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
hail,word,8.079,w,comic sans,1,ComicSans5.jpeg,experimental,A,,,,,0,67,67,4,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6704754590027733,124.0343090830138,None,124.0343090830138,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
faza,non-word,None,n,comic sans,1,ComicSans51.jpeg,experimental,A,,,,,0,68,68,50,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6815869999991264,124.7526700830058,None,124.7526700830058,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
hobs,non-word,None,n,georgia,2,Georgia66.jpeg,experimental,A,,,,,0,69,69,65,,,,,,,,,,,,,,,,,,,,,,,w,0,0.7463407080067554,125.46708258301078,None,None,None,125.46708258301078,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
gosh,word,8.054,w,comic sans,1,ComicSans1.jpeg,experimental,A,,,,,0,70,70,0,,,,,,,,,,,,,,,,,,,,,,,w,1,0.8256151250097901,126.25210225000046,None,126.25210225000046,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
lace,word,8.097,w,comic sans,1,ComicSans11.jpeg,experimental,A,,,,,0,71,71,10,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7023839579924243,127.11785404100374,None,127.11785404100374,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
loth,non-word,None,n,comic sans,1,ComicSans56.jpeg,experimental,A,,,,,0,72,72,55,,,,,,,,,,,,,,,,,,,,,,,n,1,0.835267542002839,127.85141179100901,None,127.85141179100901,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
gour,non-word,None,n,georgia,2,Georgia71.jpeg,experimental,A,,,,,0,73,73,70,,,,,,,,,,,,,,,,,,,,,,,n,1,1.2702938339934917,128.71752445801394,None,None,None,128.71752445801394,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
soan,non-word,None,n,georgia,2,Georgia62.jpeg,experimental,A,,,,,0,74,74,61,,,,,,,,,,,,,,,,,,,,,,,n,1,1.0469740410044324,130.03551816601248,None,None,None,130.03551816601248,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
sail,word,8.175,w,georgia,2,Georgia35.jpeg,experimental,A,,,,,0,75,75,34,,,,,,,,,,,,,,,,,,,,,,,w,1,1.0311330830008956,131.117131291001,None,None,None,131.117131291001,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
nets,word,8.142,w,georgia,2,Georgia26.jpeg,experimental,A,,,,,0,76,76,25,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7206612500012852,132.18550312500156,None,None,None,132.18550312500156,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
coil,word,8.127,w,comic sans,1,ComicSans20.jpeg,experimental,A,,,,,0,77,77,19,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7215412499936065,132.95140062501014,None,132.95140062501014,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
plaw,non-word,None,n,comic sans,1,ComicSans52.jpeg,experimental,A,,,,,0,78,78,51,,,,,,,,,,,,,,,,,,,,,,,n,1,1.5457483749923995,133.71804550000525,None,133.71804550000525,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
hond,non-word,None,n,comic sans,1,ComicSans53.jpeg,experimental,A,,,,,0,79,79,52,,,,,,,,,,,,,,,,,,,,,,,n,1,1.20725045799918,135.3022001250065,None,135.3022001250065,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.5369810830016,None,,,,,,
