Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
mist,word,8.091,w,comic sans,1,ComicSans10.jpeg,experimental,A,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7226447499997448,68.6689470410056,None,68.6689470410056,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
watt,word,8.145,w,georgia,2,Georgia30.jpeg,experimental,A,,,,,0,5,5,29,,,,,,,,,,,,,,,,,,,,,,,w,1,0.955793333996553,69.43498358300712,None,None,None,69.43498358300712,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
powl,non-word,None,n,comic sans,1,ComicSans60.jpeg,experimental,A,,,,,0,6,6,59,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7306020830001216,70.4342683750001,None,70.4342683750001,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
voar,non-word,None,n,georgia,2,Georgia70.jpeg,experimental,A,,,,,0,7,7,69,,,,,,,,,,,,,,,,,,,,,,,n,1,1.457895291998284,71.2016259580123,None,None,None,71.2016259580123,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
hawk,word,8.188,w,georgia,2,Georgia40.jpeg,experimental,A,,,,,0,8,8,39,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7075834580027731,72.70117912501155,None,None,None,72.70117912501155,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
oath,word,8.187,w,georgia,2,Georgia38.jpeg,experimental,A,,,,,0,9,9,37,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7495410410047043,73.45122808300948,None,None,None,73.45122808300948,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
vekd,non-word,None,n,georgia,2,Georgia76.jpeg,experimental,A,,,,,0,10,10,75,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6605119590094546,74.23394812500919,None,None,None,74.23394812500919,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
tray,word,8.126,w,comic sans,1,ComicSans19.jpeg,experimental,A,,,,,0,11,11,18,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6594832090049749,74.93423545800033,None,74.93423545800033,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
tave,non-word,None,n,georgia,2,Georgia65.jpeg,experimental,A,,,,,0,12,12,64,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9157389999891166,75.63520816600067,None,None,None,75.63520816600067,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
jets,word,8.081,w,comic sans,1,ComicSans7.jpeg,experimental,A,,,,,0,13,13,6,,,,,,,,,,,,,,,,,,,,,,,w,1,1.161739374991157,76.58494475000771,None,76.58494475000771,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
otey,non-word,None,n,georgia,2,Georgia63.jpeg,experimental,A,,,,,0,14,14,62,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7811458750074962,77.78628166600538,None,None,None,77.78628166600538,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
spew,word,8.117,w,comic sans,1,ComicSans16.jpeg,experimental,A,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,n,0,1.029087625007378,78.59993704101362,None,78.59993704101362,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
aged,word,8.142,w,georgia,2,Georgia24.jpeg,experimental,A,,,,,0,16,16,23,,,,,,,,,,,,,,,,,,,,,,,w,1,0.9448159579915227,79.66779483300343,None,None,None,79.66779483300343,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
runk,non-word,None,n,comic sans,1,ComicSans54.jpeg,experimental,A,,,,,0,17,17,53,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9359874580113683,80.65215225001157,None,80.65215225001157,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
