Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,response_practice.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
spew,word,8.117,w,comic sans,1,ComicSans16.jpeg,experimental,A,,,,,0,4,4,15,,,,,,,,,,,,,,,,,,,,,,,w,1,0.8769622910003818,68.90931954199914,None,68.90931954199914,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
jets,word,8.081,w,comic sans,1,ComicSans7.jpeg,experimental,A,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,w,1,0.8233435000001919,69.82675241699872,None,69.82675241699872,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
fade,word,8.162,w,georgia,2,Georgia33.jpeg,experimental,A,,,,,0,6,6,32,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6786161660002108,70.69375124999897,None,None,None,70.69375124999897,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
bulb,word,8.085,w,comic sans,1,ComicSans9.jpeg,experimental,A,,,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6247784160004812,71.40963383300004,None,71.40963383300004,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
lerm,non-word,None,n,georgia,2,Georgia74.jpeg,experimental,A,,,,,0,8,8,73,,,,,,,,,,,,,,,,,,,,,,,n,1,0.77082024900119,72.07728383299946,None,None,None,72.07728383299946,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
memo,word,8.108,w,comic sans,1,ComicSans12.jpeg,experimental,A,,,,,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6986057499998424,72.89340095799889,None,72.89340095799889,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
dash,word,8.139,w,georgia,2,Georgia23.jpeg,experimental,A,,,,,0,10,10,22,,,,,,,,,,,,,,,,,,,,,,,w,1,1.1280024579991732,73.62569291699947,None,None,None,73.62569291699947,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
cial,non-word,None,n,georgia,2,Georgia77.jpeg,experimental,A,,,,,0,11,11,76,,,,,,,,,,,,,,,,,,,,,,,n,1,0.77069420800035,74.79390058299941,None,None,None,74.79390058299941,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
bets,word,8.085,w,comic sans,1,ComicSans8.jpeg,experimental,A,,,,,0,12,12,7,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7203707080007007,75.6104930829988,None,75.6104930829988,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
erks,non-word,None,n,comic sans,1,ComicSans49.jpeg,experimental,A,,,,,0,13,13,48,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8513447069999529,76.37793170799887,None,76.37793170799887,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
mons,non-word,None,n,comic sans,1,ComicSans45.jpeg,experimental,A,,,,,0,14,14,44,,,,,,,,,,,,,,,,,,,,,,,n,1,1.3175218329997733,77.25986033299887,None,77.25986033299887,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
oath,word,8.187,w,georgia,2,Georgia38.jpeg,experimental,A,,,,,0,15,15,37,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7967645819990139,78.60912758299855,None,None,None,78.60912758299855,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
rine,non-word,None,n,comic sans,1,ComicSans48.jpeg,experimental,A,,,,,0,16,16,47,,,,,,,,,,,,,,,,,,,,,,,w,0,2.0113122499988094,79.44245383299858,None,79.44245383299858,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
hilp,non-word,None,n,comic sans,1,ComicSans59.jpeg,experimental,A,,,,,0,17,17,58,,,,,,,,,,,,,,,,,,,,,,,n,1,0.700676915999793,81.49518645799981,None,81.49518645799981,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
watt,word,8.145,w,georgia,2,Georgia30.jpeg,experimental,A,,,,,0,18,18,29,,,,,,,,,,,,,,,,,,,,,,,w,1,0.8412177490008617,82.22630395799933,None,None,None,82.22630395799933,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
voar,non-word,None,n,georgia,2,Georgia70.jpeg,experimental,A,,,,,0,19,19,69,,,,,,,,,,,,,,,,,,,,,,,n,1,1.138275123999847,83.10978508299922,None,None,None,83.10978508299922,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
bean,word,8.182,w,georgia,2,Georgia36.jpeg,experimental,A,,,,,0,20,20,35,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7589266240011057,84.29286633299853,None,None,None,84.29286633299853,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
hail,word,8.079,w,comic sans,1,ComicSans5.jpeg,experimental,A,,,,,0,21,21,4,,,,,,,,,,,,,,,,,,,,,,,w,1,1.3270321660002082,85.09246087499923,None,85.09246087499923,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
atom,word,8.134,w,georgia,2,Georgia21.jpeg,experimental,A,,,,,0,22,22,20,,,,,,,,,,,,,,,,,,,,,,,w,1,1.0177228740012652,86.4611422500002,None,None,None,86.4611422500002,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
sail,word,8.175,w,georgia,2,Georgia35.jpeg,experimental,A,,,,,0,23,23,34,,,,,,,,,,,,,,,,,,,,,,,w,1,1.0098749159988074,87.52653320799982,None,None,None,87.52653320799982,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
hond,non-word,None,n,comic sans,1,ComicSans53.jpeg,experimental,A,,,,,0,24,24,52,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7285947910004325,88.57830720799939,None,88.57830720799939,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
cone,word,8.72,w,georgia,2,Georgia34.jpeg,experimental,A,,,,,0,25,25,33,,,,,,,,,,,,,,,,,,,,,,,w,1,0.937039623999226,89.34256833299878,None,None,None,89.34256833299878,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
tray,word,8.126,w,comic sans,1,ComicSans19.jpeg,experimental,A,,,,,0,26,26,18,,,,,,,,,,,,,,,,,,,,,,,w,1,0.734457458000179,90.32608370799971,None,90.32608370799971,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
span,word,8.134,w,georgia,2,Georgia22.jpeg,experimental,A,,,,,0,27,27,21,,,,,,,,,,,,,,,,,,,,,,,w,1,2.174432916001024,91.09275954199984,None,None,None,91.09275954199984,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
peam,non-word,None,n,georgia,2,Georgia64.jpeg,experimental,A,,,,,0,28,28,63,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7433892909994029,93.31044508299965,None,None,None,93.31044508299965,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
gour,non-word,None,n,georgia,2,Georgia71.jpeg,experimental,A,,,,,0,29,29,70,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7028795829992305,94.09408841699951,None,None,None,94.09408841699951,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
abem,non-word,None,n,comic sans,1,ComicSans41.jpeg,experimental,A,,,,,0,30,30,40,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6460118320010224,94.84234079199996,None,94.84234079199996,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
